CTOT,D2
1003124,1.0
1003125,1.0
1046224,1.0
0908222,0.0
0908223,0.0
1003127,1.0
1003128,1.0
1003131,1.0
1726031,0.0
1003129,1.0
1003130,1.0
1046248,1.0
0908224,0.0
1003132,1.0
1003133,1.0
1003134,1.0
1003135,1.0
1003136,1.0
1726065,0.0
1003137,1.0
1003138,1.0
1003139,0.0
1003904,1.0
1531033,0.0
1003140,0.0
1003901,1.0
1003902,1.0
1003903,1.0
1531013,0.0
1531014,1.0
1531253,0.0
1531249,0.0
1531254,1.0
1531262,0.0
0753006,0.0
1620901,0.0
1620902,0.0
1620906,0.0
0111016,1.0
1531034,0.0
1531251,0.0
1531256,0.0
0753007,0.0
0111017,0.0
1531252,1.0
0111018,1.0
1531255,1.0
0111022,0.0
0111023,0.0
0111024,1.0
0753008,0.0
1110092,1.0
0111025,1.0
0111026,1.0
0111027,0.0
0111028,0.0
0753009,0.0
0111019,0.0
0111020,1.0
0111021,1.0
1531257,0.0
1531258,1.0
1531261,0.0
1726073,1.0
1110093,1.0
1110094,1.0
1531259,0.0
1531260,0.0
0222162,1.0
0222163,1.0
1012001,1.0
1012002,1.0
0111029,0.0
0111030,1.0
0111031,1.0
1531263,0.0
1531264,0.0
1531265,0.0
1531901,1.0
0111032,1.0
0111033,1.0
1620006,0.0
1620903,0.0
1620904,0.0
1620905,0.0
1012003,1.0
1012004,1.0
1012005,1.0
1012006,1.0
1012007,1.0
1012008,1.0
1012009,1.0
1012010,1.0
0244237,1.0
1012011,1.0
1012012,1.0
1012013,1.0
1012014,1.0
1012015,1.0
1012016,1.0
1012017,1.0
0253076,0.0
1012018,1.0
1012020,1.0
1012021,1.0
0753071,0.0
1012022,1.0
1012024,1.0
1110097,1.0
1110101,1.0
1110098,1.0
1531021,0.0
0253077,0.0
1110099,1.0
1110100,1.0
1531035,0.0
1531017,1.0
1531022,0.0
0114006,0.0
0114007,0.0
0114008,0.0
1531018,1.0
1531019,1.0
1531020,0.0
1110102,1.0
1110103,1.0
0111037,0.0
1620907,0.0
0111036,0.0
0250141,1.0
0111034,0.0
0111035,1.0
0753029,0.0
1110107,1.0
1110108,1.0
1110109,1.0
1110110,1.0
1110111,1.0
1110112,1.0
1110113,1.0
1653048,0.0
1110114,1.0
1653000,0.0
1648001,0.0
0709355,1.0
0111038,1.0
0111039,0.0
0705170,1.0
1110115,1.0
1110116,1.0
1110117,1.0
1110118,1.0
1110119,1.0
1110120,1.0
1531023,1.0
1531032,0.0
1531029,1.0
1531030,0.0
